Title,Address,Latitude,Longitude,Phone,Website,Email,volunteer-email,volunteer-website,volunteer-phone,Notes,Category,PlaceID,Source,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Image
9 Million Reasons,"39-21 Crescent St, Long Island City, NY 11101, USA",40.7542097,-73.9371118,(718) 361-2817,https://www.9millionreasons.nyc/,info@9mr.nyc,,,,,Food bank,ChIJlxqQWdNYwokRwH0PRJxiFM4,AP,"Monday,9AM to 4PM","Tuesday,9AM to 4PM","Wednesday,9AM to 4PM","Thursday,9AM to 4PM","Friday,9AM to 4PM","Saturday,9AM to 12PM","Sunday,Closed",
Abraham House Inc.,"342 Willis Ave, Mineola, NY 11501, USA",40.7489572,-73.642144,(718) 292-9321,,,,,,,Food bank,EiYzNDIgV2lsbGlzIEF2ZSwgTWluZW9sYSwgTlkgMTE1MDEsIFVTQSIxEi8KFAoSCTGA_g76h8KJEfFFpD2QgXOLENYCKhQKEgll5mOy54fCiRGSarxJCsfcKw,OM,closed,closed,closed,closed,closed,06:30 AM - 07:30 AM,closed,
Abrigo Del Altisimo,"2009 Monterey Ave, Bronx, NY 10457, USA",40.8430848,-73.8946562,(718) 669-4826,,,,,,,Food bank,ChIJ43fIh2P0wokRYE3Pn2SdfSs,OM,closed,12:00 PM - 02:00 PM,closed,closed,closed,closed,closed,
ABUNDANT GRACE FOR THE FORSAKEN FOOD PANTRY,"3101 Eastchester Rd, Bronx, NY 10469, USA",40.8622759,-73.844001,(347) 449-5663,,,,,,,Food bank,ChIJJcmy5tHzwokRUPVS7H0x58M,OM,-,-,-,-,-,9:00 AM - 11:00 AM,-,
Abundant Life Tabernacle - Food Distribution Center,"2692 3rd Ave., Bronx, NY 10454, USA",40.813361,-73.922216,(718) 292-8734,https://www.facebook.com/AbundantLifeTabernacleBX/?ref=page_internal,zoe144@earthlink.net,,,,"Phone: (718) 292-8734
Email: zoe144@earthlink.net
Food Pantry Hours of Operation:
Tuesday, Wednesday, Thursday: 10:30 AM - 2:30 PM",Food bank,ChIJEwJjHMX1wokRPWvcLMTlOds,AP,closed,12:00 PM - 02:00 PM,closed,12:00 PM - 02:00 PM,closed,closed,closed,
Abyssinian Baptist Church - Food Distribution Center,"132 Odell Clark Pl, New York, NY 10030, USA",40.8166333,-73.9414844,(212) 862-7474,https://abyssinian.org/event/abyssinian-food-pantry/,info@abyssinian.org,,,,,Food bank,ChIJMctiPXf2wokRJGHavSe-0fw,AP,"Monday,Closed","Tuesday,10AM to 6PM","Wednesday,Closed","Thursday,Closed","Friday,10AM to 6PM","Saturday,Closed","Sunday,Closed",
ACQC - Food Distribution Center,"161-21 Jamaica Ave, Jamaica, NY 11432, USA",40.7049187,-73.7972845,(718) 896-2500,http://acqc.org/,,,,,,Food bank,ChIJm7Iz0d5gwokRKuNXKbnZ0zs,AP,"Monday,10AM to 12PM","Tuesday,10AM to 12PM","Wednesday,10AM to 12PM","Thursday,10AM to 12PM","Friday,10AM to 12PM","Saturday,Closed","Sunday,Closed",
ACS - The Administration for Children's Services,"2501 Grand Concourse #5th, Bronx, NY 10468, USA",40.859459,-73.8974937,(718) 933-7143,,,,,,,Food bank,EjMyNTAxIEdyYW5kIENvbmNvdXJzZSAjNXRoLCBUaGUgQnJvbngsIE5ZIDEwNDY4LCBVU0EiHxodChYKFAoSCRWSzA6H88KJEVFAp-9yUfqCEgM1dGg,OM,11:00 AM - 07:00 PM,closed,11:00 AM - 07:00 PM,closed,11:00 AM - 07:00 PM,closed,closed,
Act of Faith Ministries,"141 Manhattan Ave, New York, NY 10025, USA",40.795809,-73.9617009,(516) 852-5934,,,,,,,Food bank,EioxNDEgTWFuaGF0dGFuIEF2ZSwgTmV3IFlvcmssIE5ZIDEwMDI1LCBVU0EiMRIvChQKEgkx4_BPIvbCiRFqjNaSa7Ut9RCNASoUChIJ4WAXwxf2wokRm48eJBxcNDI,OM,closed,closed,closed,12:00 PM - 01:00 PM,closed,closed,closed,
Action Center Food Pantry - Food Distribution Center,"57-10 Beach Channel Dr, Arverne, NY 11692, USA",40.5950484,-73.7875215,(718) 869-0031,,,,,,,Food bank,ChIJPagswI5owokRO6hC4lrY3vI,AP,,,,,,,,
